stamp_ns,time_sec,tb1_odom_x_m,tb1_odom_y_m,tb1_odom_yaw_rad,tb2_odom_x_m,tb2_odom_y_m,tb2_odom_yaw_rad,uwb_range_m,uwb_sync_ms,camera_bearing_deg,camera_range_m,camera_uwb_residual_m,gt_x_m,gt_y_m,gt_yaw_rad
607000031658,607.000031658,20.59242811210129,13.92306189933722,-0.3214552135224688,0.050730952145034994,-19.2728560831202,-2.3841347402605524,2.0749,-0.003756,43.60169190860749,2.175824746269389,0.10092474626938897,1.621213869452413,1.2691808028358738,-1.0768269401344301
607100031663,607.100031663,20.629654760431904,13.909187011763615,-0.32481093581646575,0.02524047645989057,-19.29895538422581,-2.3785293754610226,2.151,-0.003761,43.69075160472822,2.139676906029275,-0.011323093970724951,1.592359322871776,1.2479383839962475,-1.0694263645903141
607200031668,607.200031668,20.671256173921336,13.893944636404932,-0.32750549851207794,0.012028013462018157,-19.31145932058902,-2.375549320976823,1.962,-0.003766,43.7855363265487,2.1021997353889095,0.1401997353889095,1.5604270988374325,1.225779029485029,-1.0637263548567994
607300031673,607.300031673,20.71368289306731,13.880932891206086,-0.32910259886237436,-0.015749872911842523,-19.340696723049238,-2.369137689967826,2.0565,-0.003771,43.86641043764774,2.0628419659981283,0.006341965998128085,1.5301304924301924,1.203121618875474,-1.0560774236790762
607400031678,607.400031678,20.754768633489928,13.86810928143413,-0.33113018596399035,-0.028936727589564656,-19.354722884502262,-2.36676561101922,1.8454,-0.003776,43.9135490070294,2.025258881316828,0.17985888131682803,1.501715810501434,1.1808110386625406,-1.0503420505500647
607500031684,607.500031684,20.793982496206016,13.854755769197402,-0.33343313553688997,-0.05264506631382147,-19.378377548086423,-2.364617706624728,1.7581,-0.003782,44.06490511760967,1.9889475750075045,0.23084757500750452,1.4712844058666323,1.1631955016518627,-1.0458604885259404
607600031689,607.600031689,20.833508605852668,13.83975352385257,-0.3344857709959374,-0.06476177442859031,-19.390382493156338,-2.3621076493322812,1.7859,-0.003787,44.18997669138833,1.9517864561182168,0.16588645611821673,1.4411285855647082,1.1449103741463567,-1.0401216184004307
607700031694,607.700031694,20.875097539161143,13.825019724907886,-0.33680012836813467,-0.09115167253241603,-19.417834250618043,-2.3559992172867856,1.8611,-0.003792,44.1738036689061,1.91372683037385,0.052626830373849964,1.4135005732904498,1.1223214939929322,-1.0340009031247552
607800031699,607.800031699,20.91789219241049,13.810584769122263,-0.3391925128022019,-0.10297105025710053,-19.428723394166976,-2.355620469008274,1.8558,-0.003797,44.32221303184079,1.8769143318680164,0.021114331868016478,1.3814965078360997,1.1058475601153428,-1.0307672577938642
607900031704,607.900031704,20.957468850442478,13.797630437482269,-0.34213869985158807,-0.12959913922519764,-19.456636983869863,-2.352332387710682,1.7417,-0.003802,44.30412872779223,1.841537996092113,0.09983799609211297,1.3560818289250038,1.081497991166923,-1.0250913003807174
608000031710,608.00003171,20.995022696842597,13.784291564522972,-0.34375518095775814,-0.14276396065058988,-19.468628840593876,-2.349864891728355,1.8069,-0.003808,44.48157055976976,1.8051478451986818,-0.0017521548013181842,1.326748303309751,1.062637040704545,-1.0223601780227753
608100031715,608.100031715,21.032985442814272,13.769212383572476,-0.34615552978752817,-0.1668458715242267,-19.49352392640464,-2.345465582742549,1.6686,-0.003813,44.46759658665186,1.7725921532284463,0.10399215322844624,1.2998324321065688,1.04423406797029,-1.0170887800435098
608200031720,608.20003172,21.074381565503607,13.752150149632524,-0.34870837787613457,-0.17812478227915635,-19.503957761559747,-2.344023069564145,1.5853,-0.003818,44.59193579878626,1.733312604253847,0.148012604253847,1.2652800437073466,1.0258361739929096,-1.011986607761918
608300031725,608.300031725,21.115141984792807,13.736008479793448,-0.35124870244859707,-0.19965751118225328,-19.52882485019033,-2.3393888523548774,1.6158,-0.003823,44.715430947984686,1.6966668843260908,0.0808668843260909,1.2347855628862197,1.0109192207019342,-1.004991968609037
608400031731,608.400031731,21.158110982918696,13.720858512231542,-0.3532132621580181,-0.2115784072618818,-19.538847266519625,-2.338792576711017,1.4405,-0.003829,44.92469126863951,1.6574530086171957,0.2169530086171958,1.1975063412954607,0.9953304273873755,-1.0010833199265594
608500031736,608.500031736,21.200748360698693,13.705709152413954,-0.3581261711468172,-0.23870115091337843,-19.568042163094603,-2.333822272223104,1.6942,-0.003834,45.1176283952531,1.620465973781249,-0.07373402621875091,1.1685270333623679,0.9741515937251346,-0.9932310598960974
608600031741,608.600031741,21.242010610752345,13.690286491165825,-0.3596610407191929,-0.25047527006365683,-19.58279745858387,-2.331432488503567,1.4514,-0.003839,45.19298342940273,1.5822959613346177,0.13089596133461767,1.137499879676696,0.9527320621600148,-0.986937079508257
608700031746,608.700031746,21.284243747311546,13.675229238331081,-0.36354822298195305,-0.27203882052797196,-19.603815185643402,-2.32854298168208,1.7656,-0.003844,45.32754448549149,1.5451799921614306,-0.2204200078385694,1.1025611587063417,0.9360942513101438,-0.9826688558838764
608800031751,608.800031751,21.32324535310456,13.658879550736422,-0.3647298790589359,-0.2848164511932263,-19.61974871271718,-2.3246624765705275,1.6484,-0.003849,45.46902940121185,1.508024628247902,-0.14037537175209813,1.0763165767606768,0.9137050889846628,-0.9780258329097633
608900031757,608.900031757,21.34101867624272,13.65215034257779,-0.3682097430360309,-0.30478240915869204,-19.638703690516422,-2.321280256808956,1.7022,-0.003855,45.3610418296844,1.481789743544475,-0.22041025645552503,1.0662500244100406,0.8983230727615278,-0.9725988605998408
609000031762,609.000031762,21.354828135445022,13.646054458556401,-0.37239956599453655,-0.31672086472697836,-19.654857884102164,-2.3215111878959234,1.5526,-0.00386,45.13409048356332,1.4677128560811634,-0.08488714391883656,1.0643231884088573,0.8817460141998976,-0.9669511552615873
